district,state_id,zip
1,1,36033
1,1,36401
1,1,36420
1,1,36425
1,1,36426
1,1,36432
1,1,36439
1,1,36441
1,1,36444
1,1,36445
1,1,36451
1,1,36458
1,1,36460
1,1,36470
1,1,36471
1,1,36475
1,1,36480
1,1,36481
1,1,36482
1,1,36483
1,1,36502
1,1,36503
1,1,36505
1,1,36507
1,1,36509
1,1,36511
1,1,36512
1,1,36513
1,1,36518
1,1,36521
1,1,36522
1,1,36523
1,1,36525
1,1,36526
1,1,36527
1,1,36528
1,1,36529
1,1,36530
1,1,36532
1,1,36533
1,1,36535
1,1,36536
1,1,36538
1,1,36539
1,1,36541
1,1,36542
1,1,36543
1,1,36544
1,1,36545
1,1,36547
1,1,36548
1,1,36549
1,1,36550
1,1,36551
1,1,36553
1,1,36555
1,1,36556
1,1,36558
1,1,36559
1,1,36560
1,1,36561
1,1,36562
1,1,36564
1,1,36567
1,1,36568
1,1,36569
1,1,36571
1,1,36572
1,1,36574
1,1,36575
1,1,36576
1,1,36577
1,1,36578
1,1,36579
1,1,36580
1,1,36581
1,1,36582
1,1,36583
1,1,36584
1,1,36585
1,1,36587
1,1,36590
1,1,36601
1,1,36602
1,1,36603
1,1,36604
1,1,36605
1,1,36606
1,1,36607
1,1,36608
1,1,36609
1,1,36610
1,1,36611
1,1,36612
1,1,36613
1,1,36615
1,1,36616
1,1,36617
1,1,36618
1,1,36619
1,1,36633
1,1,36640
1,1,36644
1,1,36652
1,1,36660
1,1,36663
1,1,36670
1,1,36671
1,1,36675
1,1,36685
1,1,36688
1,1,36689
1,1,36691
1,1,36693
1,1,36695
1,1,36753
1,1,36768
2,1,35010
2,1,36003
2,1,36005
2,1,36006
2,1,36008
2,1,36009
2,1,36010
2,1,36015
2,1,36016
2,1,36017
2,1,36020
2,1,36022
2,1,36024
2,1,36025
2,1,36026
2,1,36027
2,1,36028
2,1,36029
2,1,36030
2,1,36032
2,1,36033
2,1,36034
2,1,36035
2,1,36036
2,1,36037
2,1,36038
2,1,36041
2,1,36042
2,1,36043
2,1,36046
2,1,36047
2,1,36048
2,1,36049
2,1,36051
2,1,36052
2,1,36053
2,1,36054
2,1,36064
2,1,36066
2,1,36067
2,1,36068
2,1,36069
2,1,36071
2,1,36072
2,1,36078
2,1,36079
2,1,36080
2,1,36081
2,1,36082
2,1,36089
2,1,36091
2,1,36092
2,1,36093
2,1,36101
2,1,36102
2,1,36103
2,1,36104
2,1,36105
2,1,36106
2,1,36107
2,1,36108
2,1,36109
2,1,36110
2,1,36111
2,1,36112
2,1,36113
2,1,36114
2,1,36115
2,1,36116
2,1,36117
2,1,36118
2,1,36120
